kernel_id,LOC,BLC,UDF,I,EH,NVD,NEC,S,P,OPRND,OPRATOR,UOPRND,UOPRATOR,ID,LOCom,EAP,CW,ALID,MeanLCC,ALLC,KLCID,CyC,MLID,NBD,AID,CC,MC,MeanWMC,MeanLMC,H1,H2,H3,MW,LMC,PT,PT_bin,LOC_bin,NVD_bin,bal_group
13481496,43,0,0.0,5,0.0,3.0,1.0,4.0,23.0,59,24,58.0,14,157.0,17.0,0.7461040162872477,76.0,4.909090909090909,3.909090909090909,31.285353535353536,4.549783549783549,1.0,16,4.0,19,11,10.0,34.9,4.4,7.0,0.0,0.0,349.0,44.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
21791959,47,0,1.0,4,0.0,3.0,4.0,1.0,35.0,71,24,69.0,15,125.0,4.0,1.054864581405392,23.0,3.75,3.9166666666666665,14.77876984126984,2.511574074074074,1.0833333333333333,10,4.0,38,12,,,,,,,,,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
15627631,46,0,0.0,4,0.0,3.0,6.0,3.0,48.0,123,50,118.0,22,173.0,0.0,1.0783907931263608,0.0,5.888888888888889,2.555555555555556,34.17936507936508,4.171296296296296,1.1666666666666667,19,4.333333333333333,30,18,9.0,7.111111111111111,1.0,1.0,1.0,3.0,64.0,9.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
9337573,56,1,0.0,6,0.0,4.0,0.0,4.0,47.0,97,48,85.0,18,300.0,17.0,1.5614312406128994,166.0,4.375,7.0,25.401817545199897,4.219881221719457,1.125,23,8.235294117647058,137,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
2446128,44,1,0.0,8,0.0,5.0,2.0,5.0,30.0,97,59,95.0,23,146.0,0.0,2.509130641037278,0.0,6.533333333333333,2.933333333333333,29.916666666666668,3.637037037037037,0.9333333333333332,28,15.5,29,15,6.0,58.5,5.0,1.0,4.0,1.0,351.0,30.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
40937543,42,0,0.0,15,0.0,3.0,1.0,4.0,8.0,69,41,66.0,9,133.0,1.0,2.464277929083751,7.0,8.571428571428571,6.0,33.96547619047619,3.242857142857143,0.8571428571428571,21,9.1,49,7,3.0,5.333333333333333,1.0,0.0,3.0,0.0,16.0,3.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
26898296,56,0,0.0,11,0.0,6.0,8.0,4.0,49.0,124,60,118.0,26,366.0,14.0,4.926641261270253,152.0,5.625,2.333333333333333,46.72700163398693,6.5085470085470085,1.0833333333333333,24,18.0,137,24,3.0,11.666666666666666,1.3333333333333333,0.0,2.0,1.0,35.0,4.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
18403403,53,0,0.0,3,0.0,3.0,0.0,3.0,22.0,59,17,59.0,12,163.0,18.0,0.0268060953791103,89.0,5.071428571428571,3.7857142857142856,21.6234693877551,3.483843537414966,1.0714285714285714,20,5.0,34,14,12.0,24.0,2.833333333333333,3.0,0.0,3.0,288.0,34.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
3376004,40,0,0.0,3,0.0,5.0,1.0,0.0,35.0,65,27,64.0,12,156.0,13.0,0.4903555837941611,50.0,4.583333333333333,3.333333333333333,27.883333333333336,3.647222222222222,1.0,28,5.8,31,12,11.0,26.454545454545453,5.818181818181818,4.0,6.0,0.0,291.0,64.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(4.0, 7.0]",
3830453,53,0,0.0,5,0.0,3.0,4.0,4.0,17.0,58,30,54.0,12,187.0,17.0,1.0118356672997515,101.0,5.1,5.3,28.454754901960783,4.051666666666667,1.0,17,12.666666666666666,51,10,10.0,57.4,5.6,0.0,6.0,0.0,574.0,56.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(2.0, 4.0]",
